region,hemi,p
bankssts,left,0.1751559007730043
transverse temporal,left,0.1751559007730043
superior temporal,left,0.1751559007730043
temporal pole,left,0.1751559007730043
entorhinal,left,0.1751559007730043
middle temporal,left,0.1751559007730043
inferior temporal,left,0.1751559007730043
fusiform,left,0.1751559007730043
bankssts,right,0.1751559007730043
transverse temporal,right,0.1751559007730043
superior temporal,right,0.1751559007730043
temporal pole,right,0.1751559007730043
entorhinal,right,0.1751559007730043
middle temporal,right,0.1751559007730043
inferior temporal,right,0.1751559007730043
fusiform,right,0.1751559007730043
superior frontal,left,0.1740447777401573
frontal pole,left,0.1740447777401573
superior frontal,right,0.1740447777401573
frontal pole,right,0.1740447777401573
caudal middle frontal,left,0.18874454596222168
rostral middle frontal,left,0.18874454596222168
caudal middle frontal,right,0.18874454596222168
rostral middle frontal,right,0.18874454596222168
pars opercularis,left,0.28884504253507937
pars orbitalis,left,0.28884504253507937
pars triangularis,left,0.28884504253507937
pars opercularis,right,0.28884504253507937
pars orbitalis,right,0.28884504253507937
pars triangularis,right,0.28884504253507937
medial orbitofrontal,left,0.17257245014844283
medial orbitofrontal,right,0.17257245014844283
lateral orbitofrontal,left,0.07474162052942782
lateral orbitofrontal,right,0.07474162052942782
precentral,left,0.5632683840286679
paracentral,left,0.5632683840286679
precentral,right,0.5632683840286679
paracentral,right,0.5632683840286679
postcentral,left,0.8132025411272065
postcentral,right,0.8132025411272065
superior parietal,left,0.47498206586392117
precuneus,left,0.47498206586392117
cuneus,left,0.47498206586392117
pericalcarine,left,0.47498206586392117
superior parietal,right,0.47498206586392117
precuneus,right,0.47498206586392117
cuneus,right,0.47498206586392117
pericalcarine,right,0.47498206586392117
inferior parietal,left,0.3001231794671011
supramarginal,left,0.3001231794671011
inferior parietal,right,0.3001231794671011
supramarginal,right,0.3001231794671011
lateral occipital,left,0.6566123375731996
lateral occipital,right,0.6566123375731996
lingual,left,0.8760671579104926
lingual,right,0.8760671579104926
insula,left,0.29755386822478
insula,right,0.29755386822478
caudal anterior cingulate,left,0.1360636269824722
rostral anterior cingulate,left,0.1360636269824722
caudal anterior cingulate,right,0.1360636269824722
rostral anterior cingulate,right,0.1360636269824722
posterior cingulate,left,0.14223170669650254
isthmus cingulate,left,0.14223170669650254
posterior cingulate,right,0.14223170669650254
isthmus cingulate,right,0.14223170669650254
parahippocampal,left,0.6214713709043611
parahippocampal,right,0.6214713709043611
